,year,better_than_prev,count
0,2005,False,53
1,2006,False,28
2,2006,True,27
3,2007,False,36
4,2007,True,18
5,2008,False,40
6,2008,True,15
7,2009,True,34
8,2009,False,21
9,2010,False,43
10,2010,True,11
11,2011,True,31
12,2011,False,24
13,2012,False,42
14,2012,True,12
15,2013,False,34
16,2013,True,21
17,2014,False,33
18,2014,True,21
19,2015,True,44
20,2015,False,11
21,2016,False,48
22,2016,True,5
23,2017,True,39
24,2017,False,14
25,2018,False,47
26,2018,True,8
27,2019,True,30
28,2019,False,24
